method,layer,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,ann,maxdd,IR
EW,5层,+0.0893,+0.1645,+0.2175,+0.2557,+0.3664,,,,,,,,
EW,10层,+0.0636,+0.1152,+0.1548,+0.1741,+0.1765,+0.2583,+0.2380,+0.2732,+0.2864,+0.4454,,,
EW,Top10%,,,,,,,,,,,+0.4454,0.0533,4.50
EW,Top5%,,,,,,,,,,,+0.5397,0.0572,4.86
LGB,5层,+0.0941,+0.1620,+0.1890,+0.2299,+0.4178,,,,,,,,
LGB,10层,+0.0826,+0.1057,+0.1515,+0.1725,+0.1823,+0.1956,+0.2119,+0.2478,+0.2772,+0.5568,,,
LGB,Top10%,,,,,,,,,,,+0.5568,0.0475,5.55
LGB,Top5%,,,,,,,,,,,+0.8183,0.0637,6.08
LGB_Shallow,5层,+0.0901,+0.1439,+0.2036,+0.2323,+0.3959,,,,,,,,
LGB_Shallow,10层,-0.0114,+0.0993,+0.1456,+0.1535,+0.1800,+0.2326,+0.2195,+0.2499,+0.2603,+0.5233,,,
LGB_Shallow,Top10%,,,,,,,,,,,+0.5233,0.0868,5.21
LGB_Shallow,Top5%,,,,,,,,,,,+0.7685,0.0457,6.26
