,001_turnover,002_morning_diff,003_ov_momentum,004_asym_ov,005_tug_of_war,006_tail_reversal,007_rv_momentum,008_diff_std,009_bab,010_bab_std,011_resi_iv,012_resi_iv_tr,013_resi_iv_amp,014_resi_iv_idvol,015_60d_vol,016_fear_ret,017_20d_vol,018_tail_beta,019_intraday_amp,020_60d_mom
001_turnover,1.0000,0.2331,0.1653,-0.4148,0.1951,-0.0023,0.8163,0.9001,0.8032,0.8320,0.7318,0.7387,0.7711,0.7776,0.8852,0.8540,0.8877,0.7575,0.8922,0.6831
002_morning_diff,0.2331,1.0000,0.3432,0.0136,0.3434,0.1462,0.4506,0.2621,0.1598,0.2747,0.2137,0.1681,0.1902,0.1949,0.2426,0.2068,0.2304,0.3095,0.2593,0.0971
003_ov_momentum,0.1653,0.3432,1.0000,0.6930,0.6787,0.0748,0.5170,0.0456,-0.1166,0.0508,0.1372,0.0820,0.0623,0.0821,-0.0063,-0.0720,0.0308,-0.0448,0.0032,-0.0663
004_asym_ov,-0.4148,0.0136,0.6930,1.0000,0.4419,0.0097,-0.0890,-0.5473,-0.6121,-0.5060,-0.3625,-0.4101,-0.4468,-0.4328,-0.5865,-0.6252,-0.5566,-0.5889,-0.5868,-0.5010
005_tug_of_war,0.1951,0.3434,0.6787,0.4419,1.0000,0.0383,0.5442,0.0755,-0.0589,0.0917,0.1054,0.0427,0.0451,0.0591,0.0504,-0.0774,0.0376,-0.0086,0.0322,-0.0971
006_tail_reversal,-0.0023,0.1462,0.0748,0.0097,0.0383,1.0000,0.0477,0.0815,-0.0428,0.0377,0.2448,0.2318,0.2112,0.2107,0.0601,0.0682,0.0587,0.0378,0.0640,-0.0544
007_rv_momentum,0.8163,0.4506,0.5170,-0.0890,0.5442,0.0477,1.0000,0.7658,0.5782,0.6958,0.6471,0.6099,0.6263,0.6426,0.7032,0.6313,0.7177,0.5917,0.7366,0.3882
008_diff_std,0.9001,0.2621,0.0456,-0.5473,0.0755,0.0815,0.7658,1.0000,0.8681,0.8824,0.8494,0.8572,0.8793,0.8870,0.9665,0.9400,0.9699,0.8312,0.9870,0.7080
009_bab,0.8032,0.1598,-0.1166,-0.6121,-0.0589,-0.0428,0.5782,0.8681,1.0000,0.8090,0.6099,0.6437,0.6784,0.6806,0.8788,0.8437,0.8681,0.7604,0.8733,0.7889
010_bab_std,0.8320,0.2747,0.0508,-0.5060,0.0917,0.0377,0.6958,0.8824,0.8090,1.0000,0.7565,0.7688,0.7959,0.7975,0.8811,0.8663,0.8837,0.8162,0.8870,0.6709
011_resi_iv,0.7318,0.2137,0.1372,-0.3625,0.1054,0.2448,0.6471,0.8494,0.6099,0.7565,1.0000,0.9858,0.9791,0.9813,0.8500,0.8366,0.8370,0.7108,0.8396,0.5384
012_resi_iv_tr,0.7387,0.1681,0.0820,-0.4101,0.0427,0.2318,0.6099,0.8572,0.6437,0.7688,0.9858,1.0000,0.9870,0.9882,0.8657,0.8584,0.8548,0.7212,0.8503,0.5851
013_resi_iv_amp,0.7711,0.1902,0.0623,-0.4468,0.0451,0.2112,0.6263,0.8793,0.6784,0.7959,0.9791,0.9870,1.0000,0.9935,0.8941,0.8832,0.8813,0.7545,0.8755,0.6199
014_resi_iv_idvol,0.7776,0.1949,0.0821,-0.4328,0.0591,0.2107,0.6426,0.8870,0.6806,0.7975,0.9813,0.9882,0.9935,1.0000,0.8982,0.8814,0.8836,0.7579,0.8816,0.6168
015_60d_vol,0.8852,0.2426,-0.0063,-0.5865,0.0504,0.0601,0.7032,0.9665,0.8788,0.8811,0.8500,0.8657,0.8941,0.8982,1.0000,0.9470,0.9690,0.8546,0.9690,0.7765
016_fear_ret,0.8540,0.2068,-0.0720,-0.6252,-0.0774,0.0682,0.6313,0.9400,0.8437,0.8663,0.8366,0.8584,0.8832,0.8814,0.9470,1.0000,0.9603,0.8424,0.9517,0.7573
017_20d_vol,0.8877,0.2304,0.0308,-0.5566,0.0376,0.0587,0.7177,0.9699,0.8681,0.8837,0.8370,0.8548,0.8813,0.8836,0.9690,0.9603,1.0000,0.8379,0.9705,0.7543
018_tail_beta,0.7575,0.3095,-0.0448,-0.5889,-0.0086,0.0378,0.5917,0.8312,0.7604,0.8162,0.7108,0.7212,0.7545,0.7579,0.8546,0.8424,0.8379,1.0000,0.8518,0.6639
019_intraday_amp,0.8922,0.2593,0.0032,-0.5868,0.0322,0.0640,0.7366,0.9870,0.8733,0.8870,0.8396,0.8503,0.8755,0.8816,0.9690,0.9517,0.9705,0.8518,1.0000,0.7249
020_60d_mom,0.6831,0.0971,-0.0663,-0.5010,-0.0971,-0.0544,0.3882,0.7080,0.7889,0.6709,0.5384,0.5851,0.6199,0.6168,0.7765,0.7573,0.7543,0.6639,0.7249,1.0000
