num,name,Q1_ann,Q5_ann,Q5_Q1_spread,Top10_ann,Top10_IR,Top10_maxDD,Top5_ann,Top5_IR,Top5_maxDD
11,cb_alpha011_resi_iv,0.1067,0.3506,0.2438,0.4307,4.5396,0.0253,0.5187,4.4728,0.0599
14,cb_alpha014_resi_iv_idvol,0.1093,0.3327,0.2235,0.3804,4.2379,0.0270,0.4530,4.5859,0.0267
13,cb_alpha013_resi_iv_amp,0.1134,0.3349,0.2215,0.3962,4.3476,0.0258,0.4795,4.3454,0.0242
12,cb_alpha012_resi_iv_tr,0.1080,0.3273,0.2194,0.3874,4.2461,0.0263,0.4410,3.9607,0.0414
19,cb_alpha019_intraday_amp,0.1167,0.3275,0.2107,0.3857,3.4839,0.0490,0.5146,3.8564,0.0534
15,cb_alpha015_60d_vol,0.1180,0.3249,0.2069,0.4008,4.3127,0.0270,0.4608,4.4273,0.0401
8,cb_alpha008_diff_std,0.1156,0.3225,0.2069,0.3842,3.4454,0.0544,0.4521,3.8103,0.0622
20,cb_alpha020_60d_mom,0.1443,0.3418,0.1975,0.4148,4.5642,0.0256,0.5286,5.3020,0.0250
9,cb_alpha009_bab,0.1180,0.3137,0.1957,0.3642,3.6062,0.0682,0.4420,3.3142,0.0699
17,cb_alpha017_20d_vol,0.1249,0.3160,0.1911,0.3700,3.7592,0.0364,0.4555,4.1917,0.0335
3,cb_alpha003_ov_momentum,0.1495,0.3368,0.1873,0.3953,4.0388,0.1113,0.4791,3.9308,0.1562
7,cb_alpha007_rv_momentum,0.1402,0.3079,0.1678,0.3690,3.5554,0.0876,0.4158,3.6486,0.0794
16,cb_alpha016_fear_ret,0.1555,0.3149,0.1594,0.3911,3.6631,0.0477,0.5128,4.1453,0.0478
10,cb_alpha010_bab_std,0.1471,0.2959,0.1487,0.3376,3.9807,0.0432,0.3947,4.0048,0.0369
2,cb_alpha002_morning_diff,0.1749,0.3204,0.1455,0.4096,5.3491,0.0506,0.6067,5.8120,0.0206
18,cb_alpha018_tail_beta,0.1494,0.2930,0.1436,0.3555,4.1406,0.0362,0.4027,4.4318,0.0324
5,cb_alpha005_tug_of_war,0.1751,0.3112,0.1361,0.3718,4.2229,0.0959,0.4525,4.1744,0.1284
1,cb_alpha001_turnover,0.1806,0.3016,0.1209,0.3485,3.6805,0.0831,0.4465,4.2206,0.0477
4,cb_alpha004_asym_ov,0.2063,0.2884,0.0821,0.3402,3.9221,0.0818,0.4056,3.4682,0.1630
