layers,quantile,ann_ret
5,1,-0.0957
5,2,0.1410
5,3,0.1805
5,4,0.2104
5,5,0.2758
10,1,-0.2082
10,2,0.0309
10,3,0.1292
10,4,0.1524
10,5,0.1765
10,6,0.1842
10,7,0.2109
10,8,0.2096
10,9,0.2602
10,10,0.2910
20,1,-0.3336
20,2,-0.0616
20,3,-0.0056
20,4,0.0681
20,5,0.1279
20,6,0.1299
20,7,0.1501
20,8,0.1542
20,9,0.1628
20,10,0.1900
20,11,0.1746
20,12,0.1936
20,13,0.2069
20,14,0.2145
20,15,0.2071
20,16,0.2117
20,17,0.2616
20,18,0.2586
20,19,0.2749
20,20,0.3068
50,1,-0.4410
50,2,-0.2997
50,3,-0.1294
50,4,-0.0706
50,5,-0.0326
50,6,-0.0511
50,7,0.0078
50,8,0.0631
50,9,0.0817
50,10,0.0517
50,11,0.1246
50,12,0.1061
50,13,0.1471
50,14,0.1110
50,15,0.1525
50,16,0.1542
50,17,0.1302
50,18,0.1693
50,19,0.1508
50,20,0.1534
50,21,0.1580
50,22,0.1646
50,23,0.1918
50,24,0.1635
50,25,0.2007
50,26,0.1618
50,27,0.1947
50,28,0.1740
50,29,0.1976
50,30,0.1894
50,31,0.2044
50,32,0.1993
50,33,0.2353
50,34,0.1981
50,35,0.2138
50,36,0.2018
50,37,0.1999
50,38,0.2257
50,39,0.2204
50,40,0.1969
50,41,0.2491
50,42,0.2781
50,43,0.2468
50,44,0.2912
50,45,0.2334
50,46,0.2610
50,47,0.2891
50,48,0.2735
50,49,0.2935
50,50,0.3355
