size,threshold_pct,ann_ret,max_dd,IR,sharpe,tvr
10,20.0000,0.2770,0.4359,0.0606,0.9624,0.0520
10,10.0000,0.3096,0.4541,0.0645,1.0233,0.0667
10,5.0000,0.2762,0.4655,0.0603,0.9568,0.0827
10,2.5000,0.3161,0.4907,0.0658,1.0441,0.1072
15,20.0000,0.3279,0.4320,0.0694,1.1009,0.0527
15,10.0000,0.3147,0.4531,0.0668,1.0598,0.0680
15,5.0000,0.2841,0.4711,0.0625,0.9928,0.0862
15,2.5000,0.3074,0.4919,0.0656,1.0415,0.1138
20,20.0000,0.3451,0.4520,0.0723,1.1481,0.0534
20,10.0000,0.3197,0.4520,0.0685,1.0873,0.0700
20,5.0000,0.2888,0.4589,0.0636,1.0102,0.0894
20,2.5000,0.3064,0.4723,0.0661,1.0485,0.1208
30,20.0000,0.3438,0.4369,0.0732,1.1623,0.0544
30,10.0000,0.3007,0.4382,0.0660,1.0476,0.0717
30,5.0000,0.3187,0.4489,0.0690,1.0947,0.0949
30,2.5000,0.2971,0.4723,0.0653,1.0358,0.1364
