,effective_alpha_001,effective_alpha_002,effective_alpha_003,effective_alpha_004,effective_alpha_005,effective_alpha_006,effective_alpha_007,effective_alpha_008,effective_alpha_009,effective_alpha_010,effective_alpha_011,effective_alpha_012,effective_alpha_013,effective_alpha_014,effective_alpha_015,effective_alpha_016,effective_alpha_017,effective_alpha_018,effective_alpha_019,effective_alpha_020,effective_alpha_021,effective_alpha_022,effective_alpha_023,effective_alpha_024,effective_alpha_025,effective_alpha_026,effective_alpha_027,effective_alpha_028,effective_alpha_029,effective_alpha_030,effective_alpha_031,effective_alpha_032
effective_alpha_001,1.000,0.279,0.025,0.078,0.151,0.160,0.025,0.086,0.066,0.089,0.301,0.040,0.091,0.070,0.070,0.283,0.063,-0.006,0.102,0.034,0.090,0.005,0.009,0.008,0.070,-0.052,-0.014,0.012,0.090,0.060,0.063,-0.016
effective_alpha_002,0.279,1.000,-0.002,-0.020,-0.011,-0.006,0.018,0.043,0.042,0.055,0.052,0.033,0.046,0.024,0.024,-0.002,0.050,-0.045,-0.003,0.026,-0.048,-0.009,-0.012,-0.012,0.040,-0.126,0.003,-0.014,-0.020,0.058,0.074,-0.007
effective_alpha_003,0.025,-0.002,1.000,0.281,0.194,0.198,0.208,0.124,0.086,0.140,0.058,0.076,0.139,0.122,0.122,0.029,0.045,0.182,0.038,0.011,0.034,0.223,0.185,0.181,0.077,0.004,0.025,0.073,-0.035,0.057,0.093,0.027
effective_alpha_004,0.078,-0.020,0.281,1.000,0.884,0.904,0.592,0.331,0.177,0.361,0.457,0.227,0.364,0.341,0.341,0.490,0.277,0.720,0.479,0.108,0.382,0.435,0.366,0.370,0.225,0.069,0.072,0.179,0.343,0.116,0.058,0.050
effective_alpha_005,0.151,-0.011,0.194,0.884,1.000,0.967,0.489,0.354,0.184,0.385,0.701,0.248,0.386,0.373,0.373,0.733,0.345,0.790,0.662,0.147,0.560,0.352,0.305,0.310,0.254,0.120,0.055,0.186,0.591,0.110,-0.025,0.037
effective_alpha_006,0.160,-0.006,0.198,0.904,0.967,1.000,0.482,0.361,0.197,0.391,0.685,0.243,0.393,0.379,0.379,0.732,0.347,0.766,0.659,0.141,0.549,0.341,0.295,0.299,0.259,0.105,0.050,0.187,0.561,0.118,-0.003,0.030
effective_alpha_007,0.025,0.018,0.208,0.592,0.489,0.482,1.000,0.318,0.093,0.383,0.191,0.202,0.371,0.314,0.314,0.195,0.411,0.401,0.350,0.167,0.143,0.295,0.170,0.162,0.222,-0.060,0.107,0.158,0.023,0.136,0.192,0.049
effective_alpha_008,0.086,0.043,0.124,0.331,0.354,0.361,0.318,1.000,0.419,0.813,0.407,0.478,0.852,0.848,0.848,0.241,0.356,0.158,0.351,0.147,0.324,0.057,0.060,0.060,0.587,-0.063,0.044,0.352,-0.003,0.314,0.440,-0.086
effective_alpha_009,0.066,0.042,0.086,0.177,0.184,0.197,0.093,0.419,1.000,0.424,0.219,0.237,0.443,0.442,0.442,0.129,0.197,0.084,0.123,0.097,0.157,0.034,0.021,0.022,0.270,-0.051,0.032,0.171,-0.020,0.189,0.264,-0.032
effective_alpha_010,0.089,0.055,0.140,0.361,0.385,0.391,0.383,0.813,0.424,1.000,0.401,0.558,0.969,0.864,0.864,0.255,0.450,0.164,0.398,0.205,0.284,0.063,0.072,0.073,0.630,-0.162,0.170,0.370,-0.054,0.365,0.482,-0.053
