factor,IR,ann_ret,sharpe,max_dd,ic_mean,Q1,Q2,Q3,Q4,Q5
effective_alpha_001,0.2487,0.5637,3.9479,0.2093,0.0202,-0.0549,0.1328,0.1799,0.2196,0.2525
effective_alpha_002,0.2281,0.4205,3.6210,0.1892,0.0166,-0.0705,0.1013,0.1726,0.2602,0.2660
effective_alpha_003,0.2274,0.2291,3.6100,0.0497,0.0133,-0.0011,0.1525,0.1597,0.1813,0.1966
effective_alpha_004,0.2073,0.3585,3.2901,0.1754,0.0315,-0.0670,0.1540,0.2047,0.2053,0.2266
effective_alpha_005,0.1882,0.4165,2.9878,0.2019,0.0374,-0.0900,0.1422,0.2131,0.2158,0.2569
effective_alpha_006,0.1854,0.4104,2.9438,0.2016,0.0378,-0.0843,0.1373,0.2142,0.2190,0.2500
effective_alpha_007,0.1841,0.2765,2.9226,0.1195,0.0251,-0.0200,0.1152,0.1891,0.2010,0.2297
effective_alpha_008,0.1935,0.3163,3.0722,0.1211,0.0420,-0.0747,0.1117,0.1587,0.2070,0.2540
effective_alpha_009,0.1456,0.1846,2.3119,0.0697,0.0247,0.0275,0.0966,0.1535,0.1957,0.2425
effective_alpha_010,0.1285,0.2678,2.0402,0.4065,0.0460,-0.0547,0.1033,0.1709,0.2227,0.2916
effective_alpha_011,0.0388,0.0736,0.6159,0.8263,0.0359,-0.0650,0.1279,0.1931,0.2421,0.2330
effective_alpha_012,0.2236,0.3531,3.5493,0.1413,0.0332,-0.0397,0.0880,0.1513,0.2410,0.3064
effective_alpha_013,0.1884,0.3643,2.9910,0.1589,0.0467,-0.0800,0.1112,0.1783,0.2266,0.3031
effective_alpha_014,0.1924,0.3226,3.0547,0.1443,0.0438,-0.0636,0.1082,0.1644,0.2264,0.2983
effective_alpha_015,0.1924,0.3226,3.0547,0.1443,0.0438,-0.0636,0.1082,0.1644,0.2264,0.2983
effective_alpha_016,0.1443,0.3390,2.2906,0.2109,0.0364,-0.0620,0.1563,0.1938,0.1978,0.2352
effective_alpha_017,0.1150,0.2333,1.8255,0.2816,0.0250,-0.0011,0.1231,0.1573,0.1982,0.2391
effective_alpha_018,0.1183,0.1926,1.8787,0.1860,0.0214,-0.0019,0.1459,0.1853,0.1840,0.2032
effective_alpha_019,0.1454,0.3096,2.3086,0.2102,0.0404,-0.0622,0.0941,0.1494,0.2056,0.2550
effective_alpha_020,0.1078,0.1386,1.7113,0.1783,0.0131,0.0494,0.1243,0.1527,0.1864,0.1978
effective_alpha_021,0.1443,0.1838,2.2914,0.1235,0.0293,0.0106,0.1200,0.1524,0.1977,0.2345
effective_alpha_022,0.0917,0.0720,1.4558,0.1386,0.0082,0.0818,0.1187,0.1509,0.1690,0.1814
effective_alpha_023,0.0932,0.0657,1.4793,0.1299,0.0077,0.0658,0.1176,0.1359,0.1483,0.1642
effective_alpha_024,0.0994,0.0669,1.5776,0.1289,0.0078,0.0696,0.1170,0.1348,0.1526,0.1666
effective_alpha_025,0.1120,0.1239,1.7781,0.1437,0.0265,0.0471,0.1280,0.1648,0.1869,0.2060
effective_alpha_026,0.0392,0.0588,0.6223,0.3203,0.0036,0.1026,0.1276,0.1470,0.1630,0.1706
effective_alpha_027,0.1207,0.2343,1.9160,0.4307,0.0187,0.0314,0.0714,0.1336,0.1974,0.2867
effective_alpha_028,0.0794,0.0770,1.2598,0.1023,0.0169,0.0751,0.1463,0.1472,0.1593,0.1781
effective_alpha_029,0.0730,0.1486,1.1595,0.2447,0.0186,-0.0038,0.1253,0.1658,0.2081,0.2155
effective_alpha_030,0.1083,0.1148,1.7190,0.0928,0.0202,0.0219,0.0872,0.1076,0.1089,0.1916
effective_alpha_031,0.0267,0.0415,0.4232,0.2415,0.0152,0.0641,0.1606,0.1619,0.1676,0.1348
effective_alpha_032,0.0884,0.1380,1.4029,0.3878,0.0078,0.0730,0.1126,0.1428,0.1668,0.2141
